Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
58,74,2 - 8 - 7 - 4 - 5 - 9 - 6 - 3 - 0 - 1,375.24,68.50,325.00
58,75,7 - 8 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 4,373.70,73.50,315.00
58,76,4 - 6 - 9 - 3 - 1 - 0 - 2 - 7 - 8 - 5,421.46,89.00,208.00
58,77,4 - 5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7,372.45,72.00,316.00
58,78,5 - 8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4,384.35,75.50,287.00
58,79,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
58,80,4 - 9 - 6 - 0 - 3 - 1 - 2 - 7 - 8 - 5,414.03,93.50,210.00
58,81,6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4,424.26,85.50,217.00
58,82,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
58,83,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
58,84,5 - 9 - 6 - 3 - 1 - 0 - 2 - 4 - 8 - 7,364.34,79.00,313.00
58,85,5 - 8 - 7 - 9 - 6 - 0 - 3 - 1 - 2 - 4,374.94,83.50,290.00
58,86,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
58,87,5 - 9 - 6 - 3 - 1 - 0 - 2 - 8 - 7 - 4,372.45,72.00,316.00
58,88,5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2 - 4,378.60,68.00,371.00
58,89,1 - 3 - 2 - 4 - 5 - 8 - 7 - 9 - 6 - 0,376.59,82.00,285.00
58,90,1 - 3 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,391.36,84.00,275.00
58,91,5 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 4,366.06,72.00,318.00
58,92,4 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8 - 5,409.09,86.50,220.00
58,93,4 - 9 - 6 - 3 - 1 - 0 - 2 - 7 - 8 - 5,406.30,90.00,211.00
58,94,4 - 9 - 6 - 0 - 3 - 1 - 2 - 7 - 8 - 5,414.03,93.50,210.00
58,95,5 - 8 - 7 - 9 - 6 - 3 - 1 - 0 - 2 - 4,367.20,80.00,291.00
58,96,5 - 9 - 6 - 0 - 1 - 3 - 2 - 7 - 8 - 4,375.45,74.00,312.00
58,97,5 - 8 - 7 - 6 - 9 - 3 - 1 - 0 - 2 - 4,381.55,79.00,278.00
