Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
1,6,2 - 3 - 0 - 1 - 8 - 4 - 5 - 7 - 9 - 6,407.92,86.50,329.00
1,37,9 - 1 - 2 - 3 - 0 - 6 - 4 - 7 - 5 - 8,520.15,120.50,273.00
1,45,0 - 6 - 9 - 1 - 2 - 3 - 8 - 4 - 5 - 7,489.67,97.50,308.00
2,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
2,1,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
2,2,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
3,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
3,1,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
3,2,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
3,3,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
3,4,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
3,5,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
3,6,7 - 5 - 2 - 3 - 1 - 0 - 4 - 6 - 9 - 8,457.48,106.00,295.00
4,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
4,1,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
4,2,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
4,3,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
4,4,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
4,5,0 - 1 - 3 - 4 - 6 - 9 - 5 - 7 - 8 - 2,414.54,91.00,296.00
4,6,8 - 7 - 0 - 6 - 9 - 1 - 3 - 2 - 4 - 5,460.32,94.00,273.00
4,7,8 - 5 - 2 - 3 - 1 - 0 - 4 - 9 - 6 - 7,449.33,106.00,280.00
4,8,5 - 7 - 2 - 1 - 0 - 3 - 4 - 6 - 9 - 8,452.05,96.50,288.00
4,9,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 5 - 4,416.78,84.50,304.00
5,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
5,1,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
5,2,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
5,3,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
5,4,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
5,5,0 - 1 - 3 - 4 - 6 - 9 - 5 - 7 - 8 - 2,414.54,91.00,296.00
5,6,8 - 7 - 0 - 6 - 9 - 1 - 3 - 2 - 4 - 5,460.32,94.00,273.00
5,7,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 5 - 4,416.78,84.50,304.00
5,8,0 - 2 - 6 - 9 - 4 - 5 - 7 - 8 - 3 - 1,414.42,98.50,236.00
5,9,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
5,10,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
5,11,9 - 3 - 0 - 1 - 2 - 5 - 4 - 7 - 8 - 6,430.86,84.50,301.00
5,12,0 - 6 - 9 - 8 - 5 - 7 - 4 - 2 - 3 - 1,414.83,90.00,288.00
5,13,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
5,14,2 - 3 - 1 - 7 - 5 - 8 - 4 - 6 - 9 - 0,457.49,106.00,218.00
5,15,9 - 3 - 1 - 7 - 4 - 5 - 8 - 2 - 0 - 6,482.05,93.00,281.00
5,16,6 - 3 - 8 - 7 - 1 - 0 - 2 - 4 - 5 - 9,432.61,75.50,371.00
5,17,0 - 1 - 3 - 2 - 8 - 4 - 5 - 7 - 9 - 6,402.47,87.00,300.00
6,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
6,1,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
6,2,0 - 1 - 3 - 4 - 6 - 9 - 5 - 7 - 8 - 2,414.54,91.00,296.00
6,3,0 - 6 - 9 - 8 - 5 - 7 - 4 - 2 - 3 - 1,414.83,90.00,288.00
6,4,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
6,5,0 - 1 - 3 - 2 - 8 - 4 - 5 - 7 - 9 - 6,402.47,87.00,300.00
6,6,0 - 6 - 9 - 8 - 5 - 7 - 4 - 2 - 3 - 1,414.83,90.00,288.00
6,7,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
6,8,4 - 5 - 9 - 6 - 3 - 7 - 8 - 1 - 0 - 2,432.12,75.50,370.00
6,9,4 - 5 - 6 - 9 - 7 - 8 - 3 - 0 - 1 - 2,387.05,73.00,380.00
6,10,6 - 9 - 3 - 0 - 1 - 2 - 7 - 4 - 5 - 8,424.48,78.50,294.00
6,11,7 - 4 - 5 - 8 - 9 - 6 - 3 - 1 - 0 - 2,407.16,81.00,299.00
6,12,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
7,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
7,1,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
7,2,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
7,3,6 - 3 - 0 - 1 - 2 - 4 - 5 - 7 - 8 - 9,377.34,76.50,305.00
7,4,5 - 8 - 6 - 9 - 0 - 1 - 3 - 2 - 7 - 4,431.49,87.00,282.00
7,5,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
7,6,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
7,7,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
8,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
8,1,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
8,2,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
8,3,6 - 3 - 0 - 1 - 2 - 4 - 5 - 7 - 8 - 9,377.34,76.50,305.00
8,4,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
8,5,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
8,6,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
8,7,9 - 0 - 1 - 3 - 2 - 4 - 5 - 7 - 8 - 6,398.87,86.00,279.00
8,8,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
8,9,9 - 4 - 5 - 8 - 3 - 0 - 1 - 2 - 7 - 6,438.57,89.00,278.00
8,10,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
8,11,5 - 8 - 7 - 1 - 3 - 2 - 0 - 6 - 9 - 4,417.57,94.00,213.00
9,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
9,1,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
9,2,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
9,3,6 - 3 - 0 - 1 - 2 - 4 - 5 - 7 - 8 - 9,377.34,76.50,305.00
9,4,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
9,5,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
9,6,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
9,7,9 - 0 - 1 - 3 - 2 - 4 - 5 - 7 - 8 - 6,398.87,86.00,279.00
9,8,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
9,9,9 - 4 - 5 - 8 - 3 - 0 - 1 - 2 - 7 - 6,438.57,89.00,278.00
9,10,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
9,11,5 - 8 - 7 - 1 - 3 - 2 - 0 - 6 - 9 - 4,417.57,94.00,213.00
9,12,3 - 1 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,397.21,87.50,284.00
9,13,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
9,14,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
9,15,6 - 3 - 0 - 1 - 2 - 4 - 5 - 7 - 8 - 9,377.34,76.50,305.00
9,16,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
9,17,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
9,18,9 - 4 - 5 - 8 - 3 - 0 - 1 - 2 - 7 - 6,438.57,89.00,278.00
9,19,0 - 1 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,372.28,68.00,375.00
10,0,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
10,1,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
10,2,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
10,3,9 - 4 - 5 - 8 - 3 - 0 - 1 - 2 - 7 - 6,438.57,89.00,278.00
10,4,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
10,5,3 - 1 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,397.21,87.50,284.00
10,6,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
10,7,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
10,8,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
10,9,9 - 4 - 5 - 8 - 3 - 0 - 1 - 2 - 7 - 6,438.57,89.00,278.00
10,10,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
10,11,1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 3,415.51,94.00,210.00
10,12,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
10,13,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
10,14,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
10,15,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
10,16,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
10,17,4 - 5 - 7 - 8 - 9 - 6 - 3 - 0 - 1 - 2,377.34,76.50,305.00
10,18,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
10,19,6 - 9 - 4 - 5 - 8 - 2 - 3 - 0 - 1 - 7,441.43,87.50,270.00
10,20,5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 4,397.97,72.50,319.00
10,21,3 - 1 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,397.21,87.50,284.00
10,22,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
11,0,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
11,1,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,2,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,3,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
11,4,3 - 1 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,397.21,87.50,284.00
11,5,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
11,6,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
11,7,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
11,8,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
11,9,1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 3,415.51,94.00,210.00
11,10,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
11,11,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
11,12,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
11,13,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,14,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,15,4 - 5 - 7 - 8 - 9 - 6 - 3 - 0 - 1 - 2,377.34,76.50,305.00
11,16,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
11,17,6 - 9 - 4 - 5 - 8 - 2 - 3 - 0 - 1 - 7,441.43,87.50,270.00
11,18,5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 4,397.97,72.50,319.00
11,19,3 - 1 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,397.21,87.50,284.00
11,20,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
11,21,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
11,22,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,23,9 - 6 - 7 - 8 - 3 - 0 - 1 - 2 - 4 - 5,372.28,68.00,375.00
11,24,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
11,25,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,26,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
11,27,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
11,28,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
11,29,0 - 3 - 6 - 9 - 4 - 5 - 8 - 7 - 1 - 2,410.98,88.50,228.00
11,30,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
11,31,4 - 8 - 7 - 1 - 3 - 2 - 0 - 6 - 9 - 5,377.34,76.00,320.00
11,32,1 - 0 - 2 - 4 - 5 - 9 - 6 - 7 - 8 - 3,369.48,71.50,366.00
11,33,6 - 9 - 4 - 5 - 8 - 2 - 3 - 0 - 1 - 7,441.43,87.50,270.00
12,0,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
12,1,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,2,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,3,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
12,4,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
12,5,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,6,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
12,7,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
12,8,1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 3,415.51,94.00,210.00
12,9,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
12,10,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,11,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
12,12,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,13,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,14,4 - 5 - 7 - 8 - 9 - 6 - 3 - 0 - 1 - 2,377.34,76.50,305.00
12,15,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
12,16,5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 4,397.97,72.50,319.00
12,17,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
12,18,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,19,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,20,9 - 6 - 7 - 8 - 3 - 0 - 1 - 2 - 4 - 5,372.28,68.00,375.00
12,21,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
12,22,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,23,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,24,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,25,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,26,0 - 3 - 6 - 9 - 4 - 5 - 8 - 7 - 1 - 2,410.98,88.50,228.00
12,27,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
12,28,4 - 8 - 7 - 1 - 3 - 2 - 0 - 6 - 9 - 5,377.34,76.00,320.00
12,29,0 - 3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 1,430.46,86.50,220.00
12,30,4 - 5 - 9 - 6 - 8 - 7 - 3 - 0 - 1 - 2,378.60,68.00,371.00
12,31,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8,368.86,68.50,327.00
12,32,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
12,33,4 - 5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8,397.97,72.50,319.00
12,34,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
12,35,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
12,36,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
12,37,7 - 8 - 5 - 4 - 9 - 6 - 3 - 1 - 0 - 2,406.30,90.00,211.00
12,38,3 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,389.70,85.50,280.00
12,39,3 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,389.70,85.50,280.00
13,0,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
13,1,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,2,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,3,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
13,4,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,5,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
13,6,1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 3,415.51,94.00,210.00
13,7,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
13,8,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,9,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
13,10,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,11,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,12,4 - 5 - 7 - 8 - 9 - 6 - 3 - 0 - 1 - 2,377.34,76.50,305.00
13,13,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
13,14,5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 4,397.97,72.50,319.00
13,15,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
13,16,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,17,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,18,9 - 6 - 7 - 8 - 3 - 0 - 1 - 2 - 4 - 5,372.28,68.00,375.00
13,19,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
13,20,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,21,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,22,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,23,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,24,4 - 8 - 7 - 1 - 3 - 2 - 0 - 6 - 9 - 5,377.34,76.00,320.00
13,25,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 7 - 8,368.86,68.50,327.00
13,26,3 - 2 - 7 - 8 - 5 - 4 - 6 - 9 - 0 - 1,431.27,94.00,205.00
13,27,4 - 5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8,397.97,72.50,319.00
13,28,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,29,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,30,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
13,31,7 - 8 - 5 - 4 - 9 - 6 - 3 - 1 - 0 - 2,406.30,90.00,211.00
13,32,3 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,389.70,85.50,280.00
13,33,3 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,389.70,85.50,280.00
13,34,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,35,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,36,0 - 1 - 2 - 7 - 8 - 5 - 4 - 9 - 6 - 3,409.09,86.50,220.00
13,37,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,38,3 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 0,389.70,85.50,280.00
13,39,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
13,40,9 - 6 - 7 - 8 - 3 - 0 - 1 - 2 - 4 - 5,372.28,68.00,375.00
13,41,6 - 8 - 7 - 3 - 0 - 1 - 2 - 4 - 5 - 9,378.60,68.00,371.00
13,42,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,43,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,44,4 - 5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8,397.97,72.50,319.00
13,45,3 - 0 - 1 - 2 - 7 - 8 - 4 - 5 - 9 - 6,368.86,68.50,327.00
13,46,3 - 1 - 2 - 4 - 5 - 7 - 8 - 9 - 6 - 0,382.27,83.50,295.00
13,47,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
13,48,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
13,49,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
13,50,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
13,51,6 - 3 - 0 - 1 - 2 - 7 - 8 - 5 - 4 - 9,409.09,86.50,220.00
14,0,1 - 3 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 0,406.12,92.00,216.00
14,1,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
14,2,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
14,3,4 - 5 - 7 - 8 - 9 - 6 - 3 - 1 - 0 - 2,374.54,80.00,296.00
14,4,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
14,5,4 - 5 - 9 - 6 - 3 - 0 - 1 - 2 - 8 - 7,375.24,68.50,325.00
14,6,1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2 - 3,415.51,94.00,210.00
14,7,7 - 8 - 3 - 0 - 1 - 2 - 4 - 5 - 9 - 6,372.28,68.00,375.00
14,8,0 - 1 - 2 - 4 - 5 - 8 - 7 - 6 - 9 - 3,384.35,75.50,287.00
14,9,3 - 1 - 0 - 6 - 9 - 4 - 5 - 7 - 8 - 2,415.51,94.00,210.00
14,10,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
14,11,8 - 7 - 6 - 9 - 3 - 0 - 1 - 2 - 4 - 5,384.35,75.50,287.00
14,12,4 - 5 - 7 - 8 - 9 - 6 - 3 - 0 - 1 - 2,377.34,76.50,305.00
14,13,5 - 6 - 9 - 3 - 0 - 1 - 2 - 7 - 8 - 4,397.97,72.50,319.00
14,14,1 - 3 - 2 - 4 - 5 - 7 - 8 - 6 - 9 - 0,398.87,86.00,279.00
